,Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,CriticalCases,Total1MpopCases,Deaths1Mpop,TotalTests,Tests1Mpop,Population
197,Sint Maarten,10863.0,87.0,10773.0,3.0,10.0,247077,1979.0,62056.0,1411454.0,43966.0
198,Eritrea,10169.0,103.0,10063.0,3.0,10.0,2777,28.0,23693.0,6470.0,3662244.0
199,Niger,9931.0,312.0,8890.0,729.0,1.0,381,12.0,254538.0,9759.0,26083660.0
200,Micronesia,9759.0,29.0,157.0,9573.0,1.0,83063,247.0,21923.0,186596.0,117489.0
201,Antigua and Barbuda,9098.0,146.0,8923.0,29.0,1.0,91429,1467.0,18901.0,189943.0,99509.0
202,Guinea-Bissau,8796.0,175.0,8301.0,320.0,6.0,4263,85.0,145231.0,70385.0,2063367.0
203,Comoros,8471.0,161.0,8305.0,5.0,6.0,9335,177.0,145231.0,70385.0,907419.0
204,Liberia,7961.0,294.0,7636.0,31.0,2.0,1501,55.0,139824.0,26356.0,5305117.0
205,Sierra Leone,7751.0,126.0,7636.0,2516.0,2.0,933,15.0,259958.0,31296.0,8306436.0
206,Chad,7583.0,193.0,4874.0,2516.0,2.0,435,11.0,191341.0,10988.0,17413580.0
207,British Virgin Islands,7305.0,64.0,4874.0,356.0,2.0,238757,2092.0,107339.0,3508269.0,30596.0
208,St. Vincent Grenadines,7112.0,115.0,6641.0,356.0,2.0,63756,1031.0,100856.0,904125.0,111551.0
209,Saint Kitts and Nevis,6541.0,46.0,6482.0,13.0,2.0,121420,854.0,124861.0,2317778.0,53871.0
210,Cook Islands,6389.0,1.0,6384.0,4.0,2.0,363610,57.0,19690.0,1120596.0,17571.0
211,Turks and Caicos,6380.0,36.0,6321.0,23.0,4.0,160539,906.0,550093.0,1275691.7223497215,39741.0
212,Sao Tome and Principe,6230.0,77.0,6132.0,21.0,4.0,27363,338.0,29036.0,127530.0,227679.0
213,Palau,5460.0,6.0,5444.0,10.0,1.0,299457,329.0,64681.0,3547469.0,18233.0
214,St. Barth,5285.0,6.0,5444.0,5.0,1.0,531423,603.0,78646.0,1221055.8080990682,9945.0
215,Nauru,4611.0,1.0,4605.0,5.0,1.0,422911,92.0,20509.0,1881042.0,10903.0
216,Anguilla,3865.0,12.0,3848.0,5.0,4.0,253775,788.0,51382.0,3373736.0,15230.0
217,Kiribati,3430.0,13.0,2703.0,714.0,3.0,27792,105.0,51382.0,3373736.0,123419.0
218,Saint Pierre Miquelon,3188.0,1.0,2449.0,738.0,1.0,553568,174.0,24902.0,4324015.0,5759.0
219,Falkland Islands,1886.0,8.0,1886.0,0.0,1.0,532919,174.0,8632.0,2439107.0,3539.0
220,Montserrat,1396.0,8.0,1353.0,35.0,1.0,281168,1611.0,17579.0,3540584.0,4965.0
221,Saint Helena,1355.0,6.0,2.0,1353.0,1.0,221586,1611.0,17579.0,3540584.0,6115.0
222,Macao,793.0,6.0,787.0,0.0,1.0,1188,9.0,7850.0,11760.0,667490.0
223,Wallis and Futuna,761.0,7.0,438.0,316.0,1.0,69295,637.0,20508.0,1867419.0,10982.0
224,Diamond Princess,712.0,13.0,699.0,0.0,1.0,69295,637.0,20508.0,1867419.0,10982.0
225,Niue,80.0,1.0,80.0,0.0,1.0,49322,637.0,20508.0,1867419.0,1622.0
226,Vatican City,29.0,1.0,29.0,0.0,1.0,36295,637.0,20508.0,1867419.0,799.0
227,Tuvalu,20.0,1.0,29.0,20.0,1.0,1658,637.0,20508.0,1867419.0,12066.0
228,Western Sahara,10.0,1.0,9.0,0.0,1.0,16,2.0,20508.0,1867419.0,626161.0
229,MS Zaandam,9.0,2.0,7.0,0.0,1.0,16,2.0,20508.0,1867419.0,626161.0
